variable,level,metric,n,median,iqr,p5,p95,min,max
pitch,0.3,CT,5,0.03753179138321995,6.937909204497716e-05,0.0374805681632653,0.037640076634735516,0.03746857142857143,0.03765061224489795
pitch,0.3,CP,5,0.01584520030234316,9.279181293508562e-05,0.01579313143333135,0.015948016326530614,0.015788775510204082,0.01595918367346939
pitch,0.3,PLnorm,5,2.368653640665547,0.01823770631888344,2.3501778989148074,2.3833208664991297,2.3477749360613807,2.3846442189620625
pitch,0.4,thrust_N,5,12.945,8.6433,6.3944600000000005,21.95256,5.7469,23.0337
pitch,0.4,power_W,5,91.01,91.50999999999999,32.244,200.95399999999998,27.11,215.12
pitch,0.4,fom,5,0.3689,0.0020000000000000018,0.36668,0.37036,0.3664,0.3705
pitch,0.4,CT,5,0.046965986394557825,4.7948021657646944e-05,0.04691887020408163,0.047003725114535606,0.0469134693877551,0.047007551020408156
pitch,0.4,CP,5,0.0220130007558579,8.199554947344034e-05,0.021956394359493068,0.02211646693877551,0.021951020408163265,0.02213061224489796
pitch,0.4,PLnorm,5,2.133556752005274,0.01012033160188519,2.1214491942570715,2.1407768207599975,2.119845075617853,2.1414745258460393
pitch,0.5,thrust_N,5,14.6968,9.801599999999999,7.26564,24.9082,6.5308,26.1336
pitch,0.5,power_W,5,114.02,114.7,40.366,251.83399999999997,33.93,269.59
pitch,0.5,fom,5,0.3562,0.0013000000000000234,0.35478000000000004,0.35712,0.3546,0.3572
pitch,0.5,CT,5,0.05332172335600907,1.279466888795544e-05,0.05331330612244898,0.0533328446480633,0.053312653061224485,0.053333877551020405
pitch,0.5,CP,5,0.027578533635676493,9.075685131195929e-05,0.027515451895043726,0.02768462367346939,0.027509183673469384,0.02769795918367347
pitch,0.5,PLnorm,5,1.933450271882126,0.006823199031307459,1.9257389070533828,1.9382875068013479,1.9247863247863246,1.938766274713454
