variable,level,metric,n,median,iqr,p5,p95,min,max
azimuth_deg,0.0,interference_ratio,75,0.5960808909944526,0.5951720685509987,0.12490942504623619,1.5202881388947538,-0.00439400032768816,1.9769999028901388
azimuth_deg,15.0,PLnorm,75,1.8525849876243876,0.4873705708124856,1.29201425391192,2.2491000383663105,1.0720185375901132,2.443728077501252
azimuth_deg,15.0,fom_total,75,0.4125,0.12395,0.25014,0.8655700000000001,0.2335,0.8699
azimuth_deg,15.0,thrust_total_N,75,22.4868,17.54515,12.65429,103.77873,10.4093,135.5591
azimuth_deg,15.0,thrust_upper_N,75,12.8437,0.4281999999999986,12.17699,58.82520999999999,11.7677,69.9914
azimuth_deg,15.0,thrust_lower_N,75,10.1942,16.46775,-0.03179999999999998,47.532139999999984,-2.4942,71.6969
azimuth_deg,15.0,power_total_W,75,189.35,184.425,102.84899999999999,899.8639999999998,97.1,1320.67
azimuth_deg,15.0,CT_total,75,0.08401918367346939,0.053815,0.05031218367346938,0.3981848195918366,0.03224306122448979,0.5594742857142857
azimuth_deg,15.0,CP_total,75,0.04861919879062736,0.05375731452282889,0.024328367346938776,0.23769171591836727,0.019785714285714285,0.3838204081632653
azimuth_deg,15.0,interference_ratio,75,0.6162450987929576,0.7811383462683923,-0.002497181070256102,1.6557387050876458,-0.19329639245166041,2.2167441497050433
azimuth_deg,30.0,PLnorm,75,1.9700587084148729,0.549705375222943,1.3702066841207114,2.5466175479300275,1.1774707543364258,2.9765370529104644
azimuth_deg,30.0,fom_total,75,0.4851,0.1794,0.31103000000000003,0.96845,0.2876,0.9822
azimuth_deg,30.0,thrust_total_N,75,27.0414,19.742949999999997,14.01127,119.45814,11.6758,152.1792
azimuth_deg,30.0,thrust_upper_N,75,12.9304,1.8672000000000004,12.42223,62.76613,12.2663,73.8588
azimuth_deg,30.0,thrust_lower_N,75,13.8496,19.6552,1.0967500000000001,57.88333999999999,-1.4561,82.614
azimuth_deg,30.0,power_total_W,75,200.41,197.895,109.007,964.2669999999999,99.16,1430.76
azimuth_deg,30.0,CT_total,75,0.09718334693877552,0.05263288444629553,0.05987832653061224,0.45964878367346923,0.041363061224489794,0.6312669387755102
azimuth_deg,30.0,CP_total,75,0.052056816326530614,0.0552274026034126,0.0260165306122449,0.2580571951020407,0.02133877551020408,0.41391020408163265
azimuth_deg,30.0,interference_ratio,75,0.8502156314455053,0.7730592442720714,0.08503474121005522,1.999376408862588,-0.11088265978266663,2.3454339057556215
azimuth_deg,45.0,PLnorm,75,1.9405667194274312,0.5208328645002176,1.3494673987614267,2.4936112227934353,1.1655812568251762,2.8802837312180603
azimuth_deg,45.0,fom_total,75,0.4994,0.1578,0.33002,0.92333,0.2879,0.9512
azimuth_deg,45.0,thrust_total_N,75,27.836,19.89865,14.869110000000001,118.05990999999999,11.7409,153.6755
azimuth_deg,45.0,thrust_upper_N,75,13.5909,1.5557499999999997,12.88171,58.126689999999996,12.4944,68.6732
azimuth_deg,45.0,thrust_lower_N,75,14.0361,18.60355,1.6695900000000001,61.731329999999986,-1.3896,90.4379
azimuth_deg,45.0,power_total_W,75,212.57,198.13,110.609,1007.5359999999998,100.73,1515.78
azimuth_deg,45.0,CT_total,75,0.1021253514739229,0.06130591420241563,0.06161385714285714,0.4570997191836733,0.044597755102040816,0.6389412244897958
azimuth_deg,45.0,CP_total,75,0.05356069538926682,0.05872490033914442,0.027976879871482122,0.2664694595918366,0.022717346938775508,0.4284326530612245
azimuth_deg,45.0,interference_ratio,75,0.8994097788393083,0.9082901627223112,0.1264890211138905,1.9282093026808635,-0.10583074392250046,2.405963113987505
azimuth_deg,60.0,PLnorm,75,2.0107873916865504,0.5078151656000149,1.3745021511125173,2.5474934708284325,1.2160309332218622,2.8754465684738317
azimuth_deg,60.0,fom_total,75,0.4832,0.1657499999999999,0.34581,0.99757,0.299,1.0122
azimuth_deg,60.0,thrust_total_N,75,26.2088,19.292950000000005,14.092340000000002,122.25538999999999,11.6362,156.6455
azimuth_deg,60.0,thrust_upper_N,75,13.4728,1.123949999999999,12.33837,66.23331999999999,12.2598,77.5251
azimuth_deg,60.0,thrust_lower_N,75,13.868,18.852249999999998,1.2309700000000001,56.82300999999998,-1.7222,82.5341
azimuth_deg,60.0,power_total_W,75,197.39,197.11500000000004,105.76,978.6379999999998,95.69,1437.41
